cdid,DIRECTION,BPM6,PRICE,SEASADJ
FJGH,EX,10.2.1.2,CP,NSA
FJNV,EX,10.2.1.3,CP,NSA
FJGJ,EX,10.2.1.N31,CP,NSA
FJNT,EX,10.2.1.N32,CP,NSA
FKLY,EX,10.2.1.N33,CP,NSA
EAN6,EX,10.2.1.N34,CP,NSA
EAN7,EX,10.2.1.N35,CP,NSA
TVLA,EX,10.2.1.N36,CP,NSA
TVLQ,EX,10.2.1.N37,CP,NSA
FJGP,EX,10.2.2,CP,NSA
FJGO,EX,10.2.2.N1,CP,NSA
FJGN,EX,10.2.2.N2,CP,NSA
MSH7,EX,10.3,CP,NSA
FJGX,EX,10.3.1,CP,NSA
FJGT,EX,10.3.1.1,CP,NSA
FJGU,EX,10.3.1.2,CP,NSA
FJGV,EX,10.3.1.3,CP,NSA
MEX5,EX,10.3.1.3.N1,CP,NSA
MEX6,EX,10.3.1.3.N2,CP,NSA
FJHC,EX,10.3.2,CP,NSA
FJHB,EX,10.3.2.1,CP,NSA
FJGZ,EX,10.3.2.2,CP,NSA
FJHA,EX,10.3.2.3,CP,NSA
FJCV,EX,10.3.2.N4,CP,NSA
FJPP,EX,10.3.3,CP,NSA
FJFZ,EX,10.3.N31,CP,NSA
FIMS,EX,10.3.N32,CP,NSA
FJFX,EX,10.3.4,CP,NSA
FJFX,EX,10.3.N41,CP,NSA
FJFU,EX,10.3.N411,CP,NSA
MEX7,EX,10.3.N4111,CP,NSA
MEX8,EX,10.3.N4112,CP,NSA
HCHX,EX,10.3.N412,CP,NSA
FJHH,EX,10.3.5,CP,NSA
FJHE,EX,10.3.N51,CP,NSA
FFWT,EX,10.3.N52,CP,NSA
FSPA,EX,10.3.N53,CP,NSA
FJFW,EX,10.3.N54,CP,NSA
APVQ,EX,10.3.N55,CP,NSA
APXJ,EX,10.3.N56,CP,NSA
TVLE,EX,10.3.N58,CP,NSA
FJHF,EX,10.3.N59,CP,NSA
FJPR,EX,11,CP,NSA
FJPS,EX,11.1,CP,NSA
FKJO,EX,11.1.1,CP,NSA
FFWH,EX,11.1.2,CP,NSA
FJIR,EX,11.1.N21,CP,NSA
FJIS,EX,11.1.N22,CP,NSA
FJPT,EX,11.2,CP,NSA
EAK9,EX,11.2.1,CP,NSA
MUC9,EX,11.2.2,CP,NSA
FJZI,EX,11.2.N21,CP,NSA
FJZJ,EX,11.2.N22,CP,NSA
EAK7,EX,11.2.N23,CP,NSA
FJJX,EX,11.2.3,CP,NSA
MEX9,EX,11.2.3.N2,CP,NSA
FJPU,EX,12,CP,NSA
FJUK,EX,12.1,CP,NSA
FJIX,EX,12.2,CP,NSA
FJKB,EX,12.2.N1,CP,NSA
HCOJ,EX,12.2.N2,CP,NSA
FKIE,EX,12.3.N1,CP,NSA
FSPX,EX,12.3.N11,CP,NSA
