cdid,COMMODITY,AREA,DIRECTION,BASIS,PRICE,SEASADJ
SIVG,57plus58,EU,EX,BOP,CVM,SA
SEST,5plus6,EU,EX,BOP,CVM,SA
SFNB,7plus8C,EU,EX,BOP,CVM,SA
SFSU,7plus8I,EU,EX,BOP,CVM,SA
SFYE,7plus8K,EU,EX,BOP,CVM,SA
SDNM,0plus1,EU,EX,BOP,CVM,SA
SMYM,87plus88,EU,EX,BOP,CVM,SA
SMBS,87plus88I,EU,EX,BOP,CVM,SA
LKUF,TminusO,EU,EX,BOP,CVM,SA
SEWA,6minusPS,EU,EX,BOP,CVM,SA
SIXG,56plus59,EU,EX,BOP,CVM,SA
SGLW,5minus8,EU,EX,BOP,CVM,SA
SFJK,7plus8,EU,EX,BOP,CVM,SA
SDTS,2plus4,EU,EX,BOP,CVM,SA
SMFS,04plus08,EU,EX,BOP,CVM,SA
SMWM,84plus85,EU,EX,BOP,CVM,SA
SLZS,87plus88C,EU,EX,BOP,CVM,SA
SMDS,87plus88K,EU,EX,BOP,CVM,SA
SJTE,68minusS,EU,EX,BOP,CVM,SA
SDCY,TminusE,EU,EX,BOP,CVM,SA
SHBM,TminusOE,EU,EX,BOP,CVM,SA
SMPY,71minus77,EU,EX,BOP,CVM,SA
SGDX,792and3,EU,EX,BOP,CVM,SA
SIVK,57plus58,EU,EX,BOP,DEF,NSA
SESX,5plus6,EU,EX,BOP,DEF,NSA
SFNF,7plus8C,EU,EX,BOP,DEF,NSA
SFSY,7plus8I,EU,EX,BOP,DEF,NSA
SFYI,7plus8K,EU,EX,BOP,DEF,NSA
SDNQ,0plus1,EU,EX,BOP,DEF,NSA
SMYQ,87plus88,EU,EX,BOP,DEF,NSA
SMBW,87plus88I,EU,EX,BOP,DEF,NSA
LKUJ,TminusO,EU,EX,BOP,DEF,NSA
SEWE,6minusPS,EU,EX,BOP,DEF,NSA
SIXK,56plus59,EU,EX,BOP,DEF,NSA
SGMA,5minus8,EU,EX,BOP,DEF,NSA
SFJP,7plus8,EU,EX,BOP,DEF,NSA
SDTW,2plus4,EU,EX,BOP,DEF,NSA
SMFW,04plus08,EU,EX,BOP,DEF,NSA
SMWQ,84plus85,EU,EX,BOP,DEF,NSA
SLZW,87plus88C,EU,EX,BOP,DEF,NSA
SMDW,87plus88K,EU,EX,BOP,DEF,NSA
SJTI,68minusS,EU,EX,BOP,DEF,NSA
SDDC,TminusE,EU,EX,BOP,DEF,NSA
SHBQ,TminusOE,EU,EX,BOP,DEF,NSA
SMQC,71minus77,EU,EX,BOP,DEF,NSA
SGEB,792and3,EU,EX,BOP,DEF,NSA
SESN,5plus6,EU,EX,BOP,IDEF,NSA
SFMT,7plus8C,EU,EX,BOP,IDEF,NSA
SFSM,7plus8I,EU,EX,BOP,IDEF,NSA
SFXW,7plus8K,EU,EX,BOP,IDEF,NSA
SDNE,0plus1,EU,EX,BOP,IDEF,NSA
LKTZ,TminusO,EU,EX,BOP,IDEF,NSA
SEVS,6minusPS,EU,EX,BOP,IDEF,NSA
SGLQ,5minus8,EU,EX,BOP,IDEF,NSA
SFJE,7plus8,EU,EX,BOP,IDEF,NSA
SDTK,2plus4,EU,EX,BOP,IDEF,NSA
SDCS,TminusE,EU,EX,BOP,IDEF,NSA
SHBG,TminusOE,EU,EX,BOP,IDEF,NSA
SGDK,792and3,EU,EX,BOP,IDEF,NSA
SESO,5plus6,EU,EX,BOP,IDEF,SA
SFMU,7plus8C,EU,EX,BOP,IDEF,SA
SFSN,7plus8I,EU,EX,BOP,IDEF,SA
SFXX,7plus8K,EU,EX,BOP,IDEF,SA
SDNF,0plus1,EU,EX,BOP,IDEF,SA
LKUA,TminusO,EU,EX,BOP,IDEF,SA
SEVT,6minusPS,EU,EX,BOP,IDEF,SA
SGLR,5minus8,EU,EX,BOP,IDEF,SA
SFJF,7plus8,EU,EX,BOP,IDEF,SA
SDTL,2plus4,EU,EX,BOP,IDEF,SA
SDCT,TminusE,EU,EX,BOP,IDEF,SA
SHBH,TminusOE,EU,EX,BOP,IDEF,SA
SGDL,792and3,EU,EX,BOP,IDEF,SA
SESY,5plus6,EU,EX,BOP,VM,NSA
SFNG,7plus8C,EU,EX,BOP,VM,NSA
SFSZ,7plus8I,EU,EX,BOP,VM,NSA
SFYJ,7plus8K,EU,EX,BOP,VM,NSA
SDNR,0plus1,EU,EX,BOP,VM,NSA
LKUK,TminusO,EU,EX,BOP,VM,NSA
SEWF,6minusPS,EU,EX,BOP,VM,NSA
SGMB,5minus8,EU,EX,BOP,VM,NSA
SFJQ,7plus8,EU,EX,BOP,VM,NSA
SDTX,2plus4,EU,EX,BOP,VM,NSA
SDDD,TminusE,EU,EX,BOP,VM,NSA
SHBR,TminusOE,EU,EX,BOP,VM,NSA
SGEC,792and3,EU,EX,BOP,VM,NSA
SESZ,5plus6,EU,EX,BOP,VM,SA
SFNH,7plus8C,EU,EX,BOP,VM,SA
SFTA,7plus8I,EU,EX,BOP,VM,SA
SFYK,7plus8K,EU,EX,BOP,VM,SA
SMFX,04plus08,EU,EX,BOP,VM,SA
SDNS,0plus1,EU,EX,BOP,VM,SA
SMWR,84plus85,EU,EX,BOP,VM,SA
