cdid,COUNTRY,DIRECTION,BASIS,SEASADJ,PERIOD,COMMODITY,PRICE
BQGX,LT,BAL,BOP,SA,A,T,CP
BQGX,LT,BAL,BOP,SA,M,T,CP
BQGX,LT,BAL,BOP,SA,Q,T,CP
BQGU,LT,EX,BOP,SA,A,T,CP
BQGU,LT,EX,BOP,SA,M,T,CP
BQGU,LT,EX,BOP,SA,Q,T,CP
BQGV,LT,IM,BOP,SA,A,T,CP
BQGV,LT,IM,BOP,SA,M,T,CP
BQGV,LT,IM,BOP,SA,Q,T,CP
BQHA,MT,BAL,BOP,SA,A,T,CP
BQHA,MT,BAL,BOP,SA,M,T,CP
BQHA,MT,BAL,BOP,SA,Q,T,CP
BQGY,MT,EX,BOP,SA,A,T,CP
BQGY,MT,EX,BOP,SA,M,T,CP
BQGY,MT,EX,BOP,SA,Q,T,CP
BQGZ,MT,IM,BOP,SA,A,T,CP
BQGZ,MT,IM,BOP,SA,M,T,CP
BQGZ,MT,IM,BOP,SA,Q,T,CP
EREP,PL,BAL,BOP,SA,A,T,CP
EREP,PL,BAL,BOP,SA,M,T,CP
EREP,PL,BAL,BOP,SA,Q,T,CP
ERDR,PL,EX,BOP,SA,A,T,CP
ERDR,PL,EX,BOP,SA,M,T,CP
ERDR,PL,EX,BOP,SA,Q,T,CP
ERED,PL,IM,BOP,SA,A,T,CP
ERED,PL,IM,BOP,SA,M,T,CP
ERED,PL,IM,BOP,SA,Q,T,CP
BQHD,SK,BAL,BOP,SA,A,T,CP
BQHD,SK,BAL,BOP,SA,M,T,CP
BQHD,SK,BAL,BOP,SA,Q,T,CP
BQHB,SK,EX,BOP,SA,A,T,CP
BQHB,SK,EX,BOP,SA,M,T,CP
BQHB,SK,EX,BOP,SA,Q,T,CP
BQHC,SK,IM,BOP,SA,A,T,CP
BQHC,SK,IM,BOP,SA,M,T,CP
BQHC,SK,IM,BOP,SA,Q,T,CP
BQHO,SI,BAL,BOP,SA,A,T,CP
BQHO,SI,BAL,BOP,SA,M,T,CP
BQHO,SI,BAL,BOP,SA,Q,T,CP
BQHE,SI,EX,BOP,SA,A,T,CP
BQHE,SI,EX,BOP,SA,M,T,CP
BQHE,SI,EX,BOP,SA,Q,T,CP
BQHN,SI,IM,BOP,SA,A,T,CP
BQHN,SI,IM,BOP,SA,M,T,CP
BQHN,SI,IM,BOP,SA,Q,T,CP
WMCX,BG,BAL,BOP,SA,A,T,CP
WMCX,BG,BAL,BOP,SA,M,T,CP
WMCX,BG,BAL,BOP,SA,Q,T,CP
WYUF,BG,EX,BOP,SA,A,T,CP
WYUF,BG,EX,BOP,SA,M,T,CP
WYUF,BG,EX,BOP,SA,Q,T,CP
WYUT,BG,IM,BOP,SA,A,T,CP
WYUT,BG,IM,BOP,SA,M,T,CP
WYUT,BG,IM,BOP,SA,Q,T,CP
WMDG,RO,BAL,BOP,SA,A,T,CP
WMDG,RO,BAL,BOP,SA,M,T,CP
WMDG,RO,BAL,BOP,SA,Q,T,CP
WMDB,RO,EX,BOP,SA,A,T,CP
WMDB,RO,EX,BOP,SA,M,T,CP
WMDB,RO,EX,BOP,SA,Q,T,CP
WMDC,RO,IM,BOP,SA,A,T,CP
WMDC,RO,IM,BOP,SA,M,T,CP
WMDC,RO,IM,BOP,SA,Q,T,CP
LGDT,D4,BAL,BOP,SA,A,T,CP
LGDT,D4,BAL,BOP,SA,M,T,CP
LGDT,D4,BAL,BOP,SA,Q,T,CP
LGDY,D4,EX,BOP,SA,A,T,CP
LGDY,D4,EX,BOP,SA,M,T,CP
LGDY,D4,EX,BOP,SA,Q,T,CP
LGER,D4,IM,BOP,SA,A,T,CP
LGER,D4,IM,BOP,SA,M,T,CP
LGER,D4,IM,BOP,SA,Q,T,CP
EPNW,IS,BAL,BOP,SA,A,T,CP
EPNW,IS,BAL,BOP,SA,M,T,CP
EPNW,IS,BAL,BOP,SA,Q,T,CP
EPLW,IS,EX,BOP,SA,A,T,CP
EPLW,IS,EX,BOP,SA,M,T,CP
EPLW,IS,EX,BOP,SA,Q,T,CP
EPMW,IS,IM,BOP,SA,A,T,CP
EPMW,IS,IM,BOP,SA,M,T,CP
EPMW,IS,IM,BOP,SA,Q,T,CP
E253,LI,BAL,BOP,SA,A,T,CP
E253,LI,BAL,BOP,SA,M,T,CP
E253,LI,BAL,BOP,SA,Q,T,CP
E24V,LI,EX,BOP,SA,A,T,CP
E24V,LI,EX,BOP,SA,M,T,CP
E24V,LI,EX,BOP,SA,Q,T,CP
E24W,LI,IM,BOP,SA,A,T,CP
E24W,LI,IM,BOP,SA,M,T,CP
E24W,LI,IM,BOP,SA,Q,T,CP
EPNX,NO,BAL,BOP,SA,A,T,CP
EPNX,NO,BAL,BOP,SA,M,T,CP
EPNX,NO,BAL,BOP,SA,Q,T,CP
EPLX,NO,EX,BOP,SA,A,T,CP
EPLX,NO,EX,BOP,SA,M,T,CP
EPLX,NO,EX,BOP,SA,Q,T,CP
EPMX,NO,IM,BOP,SA,A,T,CP
EPMX,NO,IM,BOP,SA,M,T,CP
EPMX,NO,IM,BOP,SA,Q,T,CP
EPNV,CH,BAL,BOP,SA,A,T,CP
EPNV,CH,BAL,BOP,SA,M,T,CP
EPNV,CH,BAL,BOP,SA,Q,T,CP
EPLV,CH,EX,BOP,SA,A,T,CP
EPLV,CH,EX,BOP,SA,M,T,CP
EPLV,CH,EX,BOP,SA,Q,T,CP
EPMV,CH,IM,BOP,SA,A,T,CP
EPMV,CH,IM,BOP,SA,M,T,CP
EPMV,CH,IM,BOP,SA,Q,T,CP
EOCO,TR,BAL,BOP,SA,A,T,CP
EOCO,TR,BAL,BOP,SA,M,T,CP
EOCO,TR,BAL,BOP,SA,Q,T,CP
EOBA,TR,EX,BOP,SA,A,T,CP
EOBA,TR,EX,BOP,SA,M,T,CP
EOBA,TR,EX,BOP,SA,Q,T,CP
EOBU,TR,IM,BOP,SA,A,T,CP
EOBU,TR,IM,BOP,SA,M,T,CP
EOBU,TR,IM,BOP,SA,Q,T,CP
EOCQ,CA,BAL,BOP,SA,A,T,CP
EOCQ,CA,BAL,BOP,SA,M,T,CP
EOCQ,CA,BAL,BOP,SA,Q,T,CP
EOBC,CA,EX,BOP,SA,A,T,CP
EOBC,CA,EX,BOP,SA,M,T,CP
EOBC,CA,EX,BOP,SA,Q,T,CP
EOBW,CA,IM,BOP,SA,A,T,CP
EOBW,CA,IM,BOP,SA,M,T,CP
EOBW,CA,IM,BOP,SA,Q,T,CP
EPJZ,MX,BAL,BOP,SA,A,T,CP
EPJZ,MX,BAL,BOP,SA,M,T,CP
EPJZ,MX,BAL,BOP,SA,Q,T,CP
EPJX,MX,EX,BOP,SA,A,T,CP
EPJX,MX,EX,BOP,SA,M,T,CP
EPJX,MX,EX,BOP,SA,Q,T,CP
EPJY,MX,IM,BOP,SA,A,T,CP
EPJY,MX,IM,BOP,SA,M,T,CP
EPJY,MX,IM,BOP,SA,Q,T,CP
J9C4,US,BAL,BOP,SA,A,T,CP
J9C4,US,BAL,BOP,SA,M,T,CP
J9C4,US,BAL,BOP,SA,Q,T,CP
