cdid,country,direction,basis,unit,adjustment,commodity,decimals
EDHY,ww,exports,bop,idef,sa,,1
EDHZ,ww,imports,bop,idef,sa,,1
EDIA,ww,imports,bop,idef,sa,,1
EDIB,ww,exports,bop,idef,sa,,1
EGAT,ww,imports,bop,cp,sa,,0
EHAA,ww,imports,bop,cp,sa,,0
EHAB,ww,imports,bop,cp,sa,,0
EHAC,ww,imports,bop,cp,sa,,0
EHAE,ww,imports,bop,cp,sa,,0
EHAF,ww,im,bop,cp,sa,,0
EHAG,ww,imports,bop,cp,sa,,0
EHAH,ww,imports,bop,cp,sa,,0
EHAI,ww,imports,bop,cp,sa,,0
EHAJ,ww,imports,bop,cp,sa,,0
EHAK,ww,imports,bop,cp,sa,,0
EHAL,ww,imports,bop,cp,sa,,0
EHAM,ww,imports,bop,cp,sa,,0
EHAN,ww,imports,bop,cp,sa,,0
EHAO,ww,imports,bop,cp,sa,,0
EHAP,ww,imports,bop,cp,sa,,0
EHAQ,ww,imports,bop,cp,sa,,0
EHAR,ww,imports,bop,cp,sa,,0
EHAS,ww,imports,bop,cp,sa,,0
EHAT,ww,imports,bop,cp,sa,,0
EHAU,ww,imports,bop,cp,sa,,0
EHAV,ww,imports,bop,cp,sa,,0
EHAW,ww,imports,bop,cp,sa,,0
EHAX,ww,balance,bop,cp,sa,,0
EHAY,ww,balance,bop,cp,sa,,0
EHAZ,ww,balance,bop,cp,sa,,0
EHBA,ww,balance,bop,cp,sa,,0
EHBB,ww,balance,bop,cp,sa,,0
EHBC,ww,balance,bop,cp,sa,,0
EHBD,ww,balance,bop,cp,sa,,0
EHBE,ww,balance,bop,cp,sa,,0
EHBF,ww,balance,bop,cp,sa,,0
EHBG,ww,balance,bop,cp,sa,,0
EHBH,ww,balance,bop,cp,sa,,0
EHBI,ww,balance,bop,cp,sa,,0
EHBJ,ww,balance,bop,cp,sa,,0
EHBK,ww,balance,bop,cp,sa,,0
EHBL,ww,balance,bop,cp,sa,,0
EHBM,ww,balance,bop,cp,sa,,0
EHBN,ww,bal,bop,cp,sa,,0
EHBO,ww,balance,bop,cp,sa,,0
EHBP,ww,balance,bop,cp,sa,,0
EHBQ,ww,balance,bop,cp,sa,,0
EHBR,ww,balance,bop,cp,sa,,0
EHBS,ww,balance,bop,cp,sa,,0
EHBT,ww,balance,bop,cp,sa,,0
EHBU,ww,balance,bop,cp,sa,,0
EHBV,ww,balance,bop,cp,sa,,0
EHBW,ww,balance,bop,cp,sa,,0
EHBX,ww,balance,bop,cp,sa,,0
EHBY,ww,balance,bop,cp,sa,,0
EHBZ,ww,balance,bop,cp,sa,,0
EHCA,ww,balance,bop,cp,sa,,0
EHCB,ww,balance,bop,cp,sa,,0
EHCC,ww,balance,bop,cp,sa,,0
EHCD,ww,balance,bop,cp,sa,,0
EHCE,ww,balance,bop,cp,sa,,0
ELBD,ww,imports,bop,cvm,sa,,0
ELBE,ww,balance,bop,cp,sa,,0
ELBF,ww,balance,bop,cp,sa,,0
ELBG,ww,balance,bop,cp,sa,,0
ELBH,ww,balance,bop,cp,sa,,0
ELBI,ww,balance,bop,cp,sa,,0
ELBJ,ww,balance,bop,cp,sa,,0
ELBL,ww,exports,bop,cp,sa,,0
ELBM,ww,exports,bop,cp,sa,,0
EMAI,ww,imports,bop,cp,sa,,0
ENDG,ww,exports,bop,cp,sa,,0
ENDH,ww,exports,bop,cp,sa,,0
ENDJ,ww,exports,bop,cp,sa,,0
ENDK,ww,exports,bop,cp,sa,,0
ENDL,ww,exports,bop,cp,sa,,0
ENDM,ww,exports,bop,cp,sa,,0
ENDN,ww,ex,bop,cp,sa,,0
ENDW,ww,exports,bop,cvm,sa,,0
ENDX,ww,exports,bop,cvm,sa,,0
ENDY,ww,exports,bop,cvm,sa,,0
ENDZ,ww,exports,bop,cvm,sa,,0
ENEG,ww,exports,bop,cvm,sa,,0
ENEH,ww,exports,bop,cvm,sa,,0
ENEI,ww,exports,bop,cvm,sa,,0
ENEJ,ww,exports,bop,cvm,sa,,0
ENFC,ww,exports,bop,idef,sa,,1
ENFD,ww,exports,bop,idef,sa,,1
ENFE,ww,exports,bop,idef,sa,,1
ENFF,ww,exports,bop,idef,sa,,1
ENFG,ww,exports,bop,idef,sa,,1
ENFH,ww,exports,bop,idef,sa,,0
ENFH,ww,exports,bop,idef,sa,,1
ENFI,ww,exports,bop,idef,sa,,1
ENFJ,ww,exports,bop,idef,sa,,1
ENGA,ww,imports,bop,cp,sa,,0
ENGB,ww,imports,bop,cp,sa,,0
ENGD,ww,imports,bop,cp,sa,,0
ENGE,ww,imports,bop,cp,sa,,0
ENGF,ww,imports,bop,cp,sa,,0
ENGG,ww,imports,bop,cp,sa,,0
ENGH,ww,im,bop,cp,sa,,0
ENGQ,ww,imports,bop,cvm,sa,,0
ENGR,ww,imports,bop,cvm,sa,,0
ENGS,ww,imports,bop,cvm,sa,,0
